insurance_provider,customer_service_number,hours_of_operation,coverage_type
Aetna,,24/7,PPO
BlueCross,658-189-7912,9am-5pm,
Cigna,127-674-4257,M-F 8 to 5,HDHP
United Health,384-928-1106,,POS
Humana,881-444-2674,9am-5pm,EPO
Kaiser Permanente,926-144-8527,Weekdays 9-6,POS
molina healthcare,743-733-6925,Weekdays 9-6,HMO
centene,396-181-4814,,EPO
Oscar Health,266-479-6820,8:00 AM - 6:00 PM,HMO
WellCare,846-350-3677,Mon-Fri 7am-7pm,HDHP
Ambetter,886-894-1916,8:00 AM - 6:00 PM,EPO
Bright Health,,Weekdays 9-6,EPO
